accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.24541909992694855,0,4,,
,0,4,1.1105214357376099,
0.2791423201560974,1,9,,
,1,9,0.9565796852111816,
0.2879142463207245,2,14,,
,2,14,0.8367214202880859,
0.31369397044181824,3,19,,
,3,19,0.8205826878547668,
0.32916179299354553,4,24,,
,4,24,0.8432126045227051,
0.339473694562912,5,29,,
,5,29,0.8040755391120911,
0.3468393385410309,6,34,,
,6,34,0.8294975161552429,
0.3607943654060364,7,39,,
,7,39,0.7749569416046143,
0.37344595789909363,8,44,,
,8,44,0.7731338739395142,
,9,49,,0.8039942383766174
0.38079923391342163,9,49,,
,9,49,0.7643330097198486,
0.39055466651916504,10,54,,
,10,54,0.7421298027038574,
0.40199804306030273,11,59,,
,11,59,0.7868481874465942,
0.41225072741508484,12,64,,
,12,64,0.764911949634552,
0.4168059229850769,13,69,,
,13,69,0.765231728553772,
0.4211566150188446,14,74,,
,14,74,0.7499709129333496,
0.4273635447025299,15,79,,
,15,79,0.7130511999130249,
0.4373581111431122,16,84,,
,16,84,0.7385038137435913,
0.44616633653640747,17,89,,
,17,89,0.7075697183609009,
0.45404741168022156,18,94,,
,18,94,0.7262955904006958,
,19,99,,0.7139236927032471
0.4608381986618042,19,99,,
,19,99,0.7104009985923767,
