accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.3128654956817627,0,9,,
,0,9,0.9085572361946106,
0.339473694562912,1,19,,
,1,19,0.8513299226760864,
0.3566601574420929,2,29,,
,2,29,0.7421202659606934,
0.35750487446784973,3,39,,
,3,39,0.7545486092567444,
,4,49,,0.8264923691749573
0.3550487458705902,4,49,,
,4,49,0.7599319219589233,
0.376218318939209,5,59,,
,5,59,0.7330029606819153,
0.3900863230228424,6,69,,
,6,69,0.7324022054672241,
0.3785818815231323,7,79,,
,7,79,0.6979635953903198,
0.386181503534317,8,89,,
,8,89,0.7233401536941528,
,9,99,,0.8102503418922424
0.37695908546447754,9,99,,
,9,99,0.6770514249801636,
0.3773879110813141,10,109,,
,10,109,0.7384142875671387,
0.3851526975631714,11,119,,
,11,119,0.7010882496833801,
0.3938521444797516,12,129,,
,12,129,0.679731011390686,
0.4023670256137848,13,139,,
,13,139,0.6836550235748291,
,14,149,,0.6944697499275208
0.4108252227306366,14,149,,
,14,149,0.6684181690216064,
0.41730019450187683,15,159,,
,15,159,0.6338080763816833,
0.4167870581150055,16,169,,
,16,169,0.687164306640625,
0.4178687632083893,17,179,,
,17,179,0.5992593765258789,
0.42209911346435547,18,189,,
,18,189,0.6244598627090454,
,19,199,,0.5999058485031128
0.42620858550071716,19,199,,
,19,199,0.6322351098060608,
