accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.27173489332199097,0,9,,
,0,9,0.9092801809310913,
0.3313840329647064,1,19,,
,1,19,0.7641574740409851,
0.35821962356567383,2,29,,
,2,29,0.720344066619873,
0.37348929047584534,3,39,,
,3,39,0.6715818643569946,
,4,49,,1.215287685394287
0.3648732900619507,4,49,,
,4,49,0.7226002216339111,
0.3844054639339447,5,59,,
,5,59,0.6770517230033875,
0.4091339409351349,6,69,,
,6,69,0.7036095261573792,
0.4199317693710327,7,79,,
,7,79,0.6551271677017212,
0.42272040247917175,8,89,,
,8,89,0.6194416284561157,
,9,99,,0.9087372422218323
0.4217154085636139,9,99,,
,9,99,0.6910862922668457,
0.4181286692619324,10,109,,
,10,109,0.6283226013183594,
0.4265432059764862,11,119,,
,11,119,0.6655727624893188,
0.4289998710155487,12,129,,
,12,129,0.6389642953872681,
0.4301448166370392,13,139,,
,13,139,0.6405705809593201,
,14,149,,0.4750053286552429
0.4336972236633301,14,149,,
,14,149,0.5631399154663086,
0.43827974796295166,15,159,,
,15,159,0.5577040314674377,
0.44442152976989746,16,169,,
,16,169,0.562504231929779,
0.44789907336235046,17,179,,
,17,179,0.5710865259170532,
0.45459115505218506,18,189,,
,18,189,0.5635195970535278,
,19,199,,0.6112940907478333
0.4564717411994934,19,199,,
,19,199,0.5352528095245361,
