accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.3910331428050995,0,9,,
,0,9,0.9302288293838501,
0.41461989283561707,1,19,,
,1,19,0.8846057653427124,
0.406757652759552,2,29,,
,2,29,0.7814754843711853,
0.40248537063598633,3,39,,
,3,39,0.7773017287254333,
,4,49,,0.937250018119812
0.4057309925556183,4,49,,
,4,49,0.7985700964927673,
0.42215725779533386,5,59,,
,5,59,0.7664921283721924,
0.4555834233760834,6,69,,
,6,69,0.766836404800415,
0.4581384062767029,7,79,,
,7,79,0.7402613759040833,
0.46820446848869324,8,89,,
,8,89,0.7266881465911865,
,9,99,,0.7767834067344666
0.4761403501033783,9,99,,
,9,99,0.6953965425491333,
0.46264398097991943,10,109,,
,10,109,0.7884142994880676,
0.4617933928966522,11,119,,
,11,119,0.7236914038658142,
0.46381768584251404,12,129,,
,12,129,0.7250961065292358,
0.4671400785446167,13,139,,
,13,139,0.7046619653701782,
,14,149,,0.7327247262001038
0.47374919056892395,14,149,,
,14,149,0.717044472694397,
0.4725877344608307,15,159,,
,15,159,0.665359616279602,
0.4763559401035309,16,169,,
,16,169,0.7181451916694641,
0.47382500767707825,17,179,,
,17,179,0.6473709344863892,
0.4749666750431061,18,189,,
,18,189,0.6684409976005554,
,19,199,,0.5898062586784363
0.4756920039653778,19,199,,
,19,199,0.6648933291435242,
