accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.3910331428050995,0,9,,
,0,9,0.9785668253898621,
0.3785575032234192,1,19,,
,1,19,0.8618337512016296,
0.36946067214012146,2,29,,
,2,29,0.7570830583572388,
0.38362574577331543,3,39,,
,3,39,0.7911555767059326,
,4,49,,0.7693347930908203
0.3930604159832001,4,49,,
,4,49,0.7527759075164795,
0.3980181813240051,5,59,,
,5,59,0.7252024412155151,
0.4104149341583252,6,69,,
,6,69,0.7542653679847717,
0.4212231934070587,7,79,,
,7,79,0.7153030037879944,
0.41539961099624634,8,89,,
,8,89,0.7361027598381042,
,9,99,,0.8158330917358398
0.4176218509674072,9,99,,
,9,99,0.7164510488510132,
0.42507532238960266,10,109,,
,10,109,0.7122323513031006,
0.43117284774780273,11,119,,
,11,119,0.7159627676010132,
0.44451943039894104,12,129,,
,12,129,0.7052834630012512,
0.45427459478378296,13,139,,
,13,139,0.6888149380683899,
,14,149,,0.6821983456611633
0.4612475633621216,14,149,,
,14,149,0.6719032526016235,
0.4702119827270508,15,159,,
,15,159,0.6571566462516785,
0.47411996126174927,16,169,,
,16,169,0.6784759759902954,
0.4801386296749115,17,179,,
,17,179,0.6056241989135742,
0.48428234457969666,18,189,,
,18,189,0.6476198434829712,
,19,199,,0.587475597858429
0.48733919858932495,19,199,,
,19,199,0.6390313506126404,
