name,seed,class_weight_method,learning_rate,batch_size,oversampling,train_accuracy,val_accuracy,test_accuracy,balanced_test_accuracy,deox_recall,ischem_recall,stas_recall,test_correct,test_total,best_checkpoint,confusion_matrix
seed0,0,none,0.001,64,False,0.32666666666666666,0.3258426966292135,0.7540983606557377,0.3333333333333333,1.0,0.0,0.0,92,122,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/seed0/checkpoints/epoch=00-accuracy=0.5092.ckpt,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/seed0/confusion_matrix.png
nll_weights,42,nll,0.001,64,False,0.6416666666666667,0.7415730337078652,0.28688524590163933,0.658695652173913,0.07608695652173914,0.9,1.0,35,122,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/nll_weights/checkpoints/epoch=16-accuracy=0.4764.ckpt,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/nll_weights/confusion_matrix.png
inverse_weights_oversampling,42,inverse,0.001,64,True,0.6883333333333334,0.6741573033707865,0.28688524590163933,0.6847826086956522,0.05434782608695652,1.0,1.0,35,122,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/inverse_weights_oversampling/checkpoints/epoch=19-accuracy=0.4565.ckpt,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/inverse_weights_oversampling/confusion_matrix.png
seed1,1,none,0.001,64,False,0.6666666666666666,0.7303370786516854,0.2786885245901639,0.6811594202898551,0.043478260869565216,1.0,1.0,34,122,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/seed1/checkpoints/epoch=19-accuracy=0.4892.ckpt,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/seed1/confusion_matrix.png
baseline_seed42,42,none,0.001,64,False,0.6683333333333333,0.7528089887640449,0.27049180327868855,0.6644927536231884,0.043478260869565216,0.95,1.0,33,122,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/baseline_seed42/checkpoints/epoch=19-accuracy=0.4873.ckpt,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/baseline_seed42/confusion_matrix.png
batch_128,42,none,0.001,128,False,0.645,0.8202247191011236,0.27049180327868855,0.677536231884058,0.03260869565217391,1.0,1.0,33,122,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/batch_128/checkpoints/epoch=19-accuracy=0.4608.ckpt,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/batch_128/confusion_matrix.png
inverse_lr_0_0003_batch_32,42,inverse,0.0003,32,False,0.665,0.7415730337078652,0.27049180327868855,0.677536231884058,0.03260869565217391,1.0,1.0,33,122,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/inverse_lr_0_0003_batch_32/checkpoints/epoch=19-accuracy=0.4940.ckpt,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/inverse_lr_0_0003_batch_32/confusion_matrix.png
oversampling,42,none,0.001,64,True,0.6683333333333333,0.7528089887640449,0.27049180327868855,0.6644927536231884,0.043478260869565216,0.95,1.0,33,122,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/oversampling/checkpoints/epoch=19-accuracy=0.4873.ckpt,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/oversampling/confusion_matrix.png
oversampling_fixed,42,none,0.001,64,True,0.71,0.7640449438202247,0.26229508196721313,0.6739130434782609,0.021739130434782608,1.0,1.0,32,122,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/oversampling_fixed/checkpoints/epoch=19-accuracy=0.4638.ckpt,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/oversampling_fixed/confusion_matrix.png
balanced_weights,42,balanced,0.001,64,False,0.6683333333333333,0.7191011235955056,0.2540983606557377,0.6181159420289856,0.05434782608695652,0.8,1.0,31,122,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/balanced_weights/checkpoints/epoch=19-accuracy=0.4542.ckpt,/Users/charleneleung/Documents/dkfz/training_runs/kidney_condition_tuning_74_11_15/balanced_weights/confusion_matrix.png
