accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.3128654956817627,0,9,,
,0,9,1.0571720600128174,
0.34756335616111755,1,19,,
,1,19,0.9757061004638672,
0.3467836380004883,2,29,,
,2,29,0.9248684048652649,
0.354483425617218,3,39,,
,3,39,0.9001314043998718,
,4,49,,1.021172285079956
0.3721637427806854,4,49,,
,4,49,0.9209510087966919,
0.41039636731147766,5,59,,
,5,59,0.860696017742157,
0.4080200493335724,6,69,,
,6,69,0.8536450266838074,
0.41449806094169617,7,79,,
,7,79,0.8100050091743469,
0.4346762001514435,8,89,,
,8,89,0.8341285586357117,
,9,99,,0.9142131209373474
0.43752437829971313,9,99,,
,9,99,0.8187351226806641,
0.44279637932777405,10,109,,
,10,109,0.8201166391372681,
0.4432586133480072,11,119,,
,11,119,0.8030290603637695,
0.44499924778938293,12,129,,
,12,129,0.7916585206985474,
0.4571428596973419,13,139,,
,13,139,0.7894150614738464,
,14,149,,0.8478689193725586
0.4678492546081543,14,149,,
,14,149,0.8065296411514282,
0.470041424036026,15,159,,
,15,159,0.7626625299453735,
0.47118449211120605,16,169,,
,16,169,0.7975873947143555,
0.4766298532485962,17,179,,
,17,179,0.7365836501121521,
0.47677233815193176,18,189,,
,18,189,0.7626761198043823,
,19,199,,0.7069737315177917
0.47498050332069397,19,199,,
,19,199,0.7434488534927368,
