accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.2980507016181946,0,9,,
,0,9,0.9395149350166321,
0.4447368383407593,1,19,,
,1,19,0.8710092306137085,
0.40077972412109375,2,29,,
,2,29,0.7844587564468384,
0.4329434633255005,3,39,,
,3,39,0.7790414690971375,
,4,49,,0.8176172971725464
0.431851863861084,4,49,,
,4,49,0.7736091613769531,
0.42897987365722656,5,59,,
,5,59,0.7158713340759277,
0.4342522919178009,6,69,,
,6,69,0.7421828508377075,
0.4278508722782135,7,79,,
,7,79,0.714814305305481,
0.42720380425453186,8,89,,
,8,89,0.7022361159324646,
,9,99,,0.707476794719696
0.4314814805984497,9,99,,
,9,99,0.6621742844581604,
0.444958359003067,10,109,,
,10,109,0.7017213702201843,
0.45518192648887634,11,119,,
,11,119,0.6676148176193237,
0.4633678197860718,12,129,,
,12,129,0.6519044637680054,
0.47009190917015076,13,139,,
,13,139,0.6238380670547485,
,14,149,,0.5852326154708862
0.47295647859573364,14,149,,
,14,149,0.6205708980560303,
0.47546297311782837,15,159,,
,15,159,0.5793425440788269,
0.48132094740867615,16,169,,
,16,169,0.6199044585227966,
0.48267272114753723,17,179,,
,17,179,0.557327151298523,
0.4867548942565918,18,189,,
,18,189,0.6008017063140869,
,19,199,,0.5358806848526001
0.4904288649559021,19,199,,
,19,199,0.5522760152816772,
