accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.2980507016181946,0,9,,
,0,9,0.9239938855171204,
0.41608187556266785,1,19,,
,1,19,0.7630260586738586,
0.4740740656852722,2,29,,
,2,29,0.7541017532348633,
0.48382067680358887,3,39,,
,3,39,0.6708215475082397,
,4,49,,1.1519443988800049
0.47996100783348083,4,49,,
,4,49,0.7490049600601196,
0.47615334391593933,5,59,,
,5,59,0.6940577030181885,
0.48460039496421814,6,69,,
,6,69,0.7234172224998474,
0.49278753995895386,7,79,,
,7,79,0.6632360219955444,
0.49930691719055176,8,89,,
,8,89,0.6446933746337891,
,9,99,,0.8096365332603455
0.4998050630092621,9,99,,
,9,99,0.6480928063392639,
0.5058479309082031,10,109,,
,10,109,0.614075243473053,
0.5116146802902222,11,119,,
,11,119,0.6736660599708557,
0.517633855342865,12,129,,
,12,129,0.5870621800422668,
0.5174046158790588,13,139,,
,13,139,0.5786234140396118,
,14,149,,0.4742721617221832
0.5217413902282715,14,149,,
,14,149,0.5346209406852722,
0.5208211541175842,15,159,,
,15,159,0.5171825289726257,
0.5235753059387207,16,169,,
,16,169,0.5208187699317932,
0.5260233879089355,17,179,,
,17,179,0.512729287147522,
0.5270442366600037,18,189,,
,18,189,0.5147241353988647,
,19,199,,0.6142598390579224
0.527222216129303,19,199,,
,19,199,0.4957304000854492,
