accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.2980507016181946,0,9,,
,0,9,1.073447823524475,
0.3971734941005707,1,19,,
,1,19,1.0044344663619995,
0.4277452826499939,2,29,,
,2,29,0.8804181814193726,
0.48620858788490295,3,39,,
,3,39,0.8651601672172546,
,4,49,,0.9537708759307861
0.4929434657096863,4,49,,
,4,49,0.8592033386230469,
0.49350228905677795,5,59,,
,5,59,0.8086446523666382,
0.5045948028564453,6,69,,
,6,69,0.8313215970993042,
0.5178118944168091,7,79,,
,7,79,0.8127603530883789,
0.5271171927452087,8,89,,
,8,89,0.8255940675735474,
,9,99,,0.8541865348815918
0.5246978402137756,9,99,,
,9,99,0.772274374961853,
0.520822286605835,10,109,,
,10,109,0.7554841041564941,
0.5188271403312683,11,119,,
,11,119,0.7463284134864807,
0.5147548317909241,12,129,,
,12,129,0.7265846729278564,
0.5124199390411377,13,139,,
,13,139,0.7223851084709167,
,14,149,,0.6431490778923035
0.5103054046630859,14,149,,
,14,149,0.738117516040802,
0.5075292587280273,15,159,,
,15,159,0.692827045917511,
0.5065474510192871,16,169,,
,16,169,0.7104283571243286,
0.503465473651886,17,179,,
,17,179,0.6497172117233276,
0.5032625794410706,18,189,,
,18,189,0.6922958493232727,
,19,199,,0.6578960418701172
0.5022027492523193,19,199,,
,19,199,0.6702842712402344,
