accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.3128654956817627,0,9,,
,0,9,0.9684349894523621,
0.33576998114585876,1,19,,
,1,19,0.8554553985595703,
0.35419103503227234,2,29,,
,2,29,0.7625266909599304,
0.36778753995895386,3,39,,
,3,39,0.7811283469200134,
,4,49,,0.8930392861366272
0.3732553720474243,4,49,,
,4,49,0.7876616716384888,
0.3938596546649933,5,59,,
,5,59,0.7613306045532227,
0.41088834404945374,6,69,,
,6,69,0.7599447965621948,
0.4236598610877991,7,79,,
,7,79,0.7115126848220825,
0.4171973168849945,8,89,,
,8,89,0.748253345489502,
,9,99,,0.8272265791893005
0.41087719798088074,9,99,,
,9,99,0.7267091274261475,
0.42298424243927,10,109,,
,10,109,0.7598798871040344,
0.431952565908432,11,119,,
,11,119,0.7272370457649231,
0.43819165229797363,12,129,,
,12,129,0.7106111645698547,
0.4391116797924042,13,139,,
,13,139,0.7159368991851807,
,14,149,,0.7151890397071838
0.4408966898918152,14,149,,
,14,149,0.6942683458328247,
0.4464181363582611,15,159,,
,15,159,0.6518718600273132,
0.4503382742404938,16,169,,
,16,169,0.70036780834198,
0.45045486092567444,17,179,,
,17,179,0.6274250745773315,
0.45499128103256226,18,189,,
,18,189,0.6618181467056274,
,19,199,,0.5468294620513916
0.4567154049873352,19,199,,
,19,199,0.6485477685928345,
