accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.3910331428050995,0,18,,
,0,18,0.9435276389122009,
0.40925925970077515,1,37,,
,1,37,0.8811389803886414,
,2,49,,0.6845442652702332
0.4315139651298523,2,56,,
,2,56,0.779003918170929,
0.4352339208126068,3,75,,
,3,75,0.8350929021835327,
0.4475633502006531,4,94,,
,4,94,0.7891345024108887,
,5,99,,0.6703058481216431
0.4508447051048279,5,113,,
,5,113,0.7535710334777832,
0.4578112065792084,6,132,,
,6,132,0.7472199201583862,
,7,149,,1.0096615552902222
0.4608430862426758,7,151,,
,7,151,0.7057531476020813,
0.46402427554130554,8,170,,
,8,170,0.7547042965888977,
0.4712865650653839,9,189,,
,9,189,0.6867708563804626,
,10,199,,0.7386463284492493
0.4765550196170807,10,208,,
,10,208,0.7214421033859253,
0.4771279990673065,11,227,,
,11,227,0.7580386996269226,
0.4841955304145813,12,246,,
,12,246,0.7314374446868896,
,13,249,,0.7022566795349121
0.48751044273376465,13,265,,
,13,265,0.7211170196533203,
0.49146199226379395,14,284,,
,14,284,0.6882948875427246,
,15,299,,0.639579176902771
0.494834303855896,15,303,,
,15,303,0.6798331141471863,
0.4972136318683624,16,322,,
,16,322,0.6782333254814148,
0.5002274513244629,17,341,,
,17,341,0.6549833416938782,
,18,349,,0.4924634099006653
0.5029957890510559,18,360,,
,18,360,0.6657554507255554,
0.5032651424407959,19,379,,
,19,379,0.643231987953186,
