accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.35068225860595703,0,9,,
,0,9,1.089823842048645,
0.47612085938453674,1,19,,
,1,19,0.9216501116752625,
0.4525016248226166,2,29,,
,2,29,0.8951525688171387,
0.4550195038318634,3,39,,
,3,39,0.8261049389839172,
,4,49,,0.8666136860847473
0.4228070080280304,4,49,,
,4,49,0.8088269233703613,
0.42102015018463135,5,59,,
,5,59,0.9083348512649536,
0.41896408796310425,6,69,,
,6,69,0.8575800061225891,
0.44110623002052307,7,79,,
,7,79,0.8261276483535767,
0.45878276228904724,8,89,,
,8,89,0.76876300573349,
,9,99,,1.1959091424942017
0.4828460216522217,9,99,,
,9,99,0.856512188911438,
0.4915470480918884,10,109,,
,10,109,0.7659018039703369,
0.4995289146900177,11,119,,
,11,119,0.7781293392181396,
0.49808067083358765,12,129,,
,12,129,0.7849136590957642,
0.5067669153213501,13,139,,
,13,139,0.7206701040267944,
,14,149,,1.0157023668289185
0.5142949819564819,14,149,,
,14,149,0.7536680102348328,
0.5091617703437805,15,159,,
,15,159,0.7371168732643127,
0.5110652446746826,16,169,,
,16,169,0.7192615270614624,
0.505111575126648,17,179,,
,17,179,0.7204586267471313,
0.507027804851532,18,189,,
,18,189,0.7255586981773376,
,19,199,,0.8588101267814636
0.5114814639091492,19,199,,
,19,199,0.7533532381057739,
