accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.24541909992694855,0,9,,
,0,9,1.0564237833023071,
0.3361598551273346,1,19,,
,1,19,0.9910185933113098,
0.38148149847984314,2,29,,
,2,29,0.882411003112793,
0.40648147463798523,3,39,,
,3,39,0.8302431106567383,
,4,49,,0.8592344522476196
0.4047563374042511,4,49,,
,4,49,0.8459308743476868,
0.46296295523643494,5,59,,
,5,59,0.8356735110282898,
0.4634920656681061,6,69,,
,6,69,0.7971693873405457,
0.47543859481811523,7,79,,
,7,79,0.7908592820167542,
0.5072124600410461,8,89,,
,8,89,0.7999037504196167,
,9,99,,0.9736718535423279
0.50922030210495,9,99,,
,9,99,0.7649519443511963,
0.5306751728057861,10,109,,
,10,109,0.7665396928787231,
0.5486679673194885,11,119,,
,11,119,0.7592511177062988,
0.5592742562294006,12,129,,
,12,129,0.7340346574783325,
0.5707741379737854,13,139,,
,13,139,0.7457642555236816,
,14,149,,0.8668947219848633
0.5818193554878235,14,149,,
,14,149,0.7954404354095459,
0.5791301131248474,15,159,,
,15,159,0.7017418742179871,
0.5870772004127502,16,169,,
,16,169,0.7485207319259644,
0.5941412448883057,17,179,,
,17,179,0.676364541053772,
0.5952395796775818,18,189,,
,18,189,0.7010757327079773,
,19,199,,0.5787094831466675
0.5957212448120117,19,199,,
,19,199,0.6824198961257935,
