accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.24541909992694855,0,9,,
,0,9,1.090903878211975,
0.32904481887817383,1,19,,
,1,19,1.0338472127914429,
0.4023391902446747,2,29,,
,2,29,0.8916782140731812,
0.45419102907180786,3,39,,
,3,39,0.866352915763855,
,4,49,,0.9643850326538086
0.48272904753685,4,49,,
,4,49,0.8663086891174316,
0.518843412399292,5,59,,
,5,59,0.8028131723403931,
0.5524366497993469,6,69,,
,6,69,0.7953001260757446,
0.5756091475486755,7,79,,
,7,79,0.7872241735458374,
0.5982022881507874,8,89,,
,8,89,0.7946892976760864,
,9,99,,1.0184553861618042
0.6124366521835327,9,99,,
,9,99,0.7610734701156616,
0.625305712223053,10,109,,
,10,109,0.7539384365081787,
0.6361436247825623,11,119,,
,11,119,0.7493199110031128,
0.6360923647880554,12,129,,
,12,129,0.7297601699829102,
0.6253829002380371,13,139,,
,13,139,0.7759345769882202,
,14,149,,0.8291319608688354
0.6344509720802307,14,149,,
,14,149,0.8129628896713257,
0.6430190205574036,15,159,,
,15,159,0.669340968132019,
0.6499828100204468,16,169,,
,16,169,0.7153391242027283,
0.6558371186256409,17,179,,
,17,179,0.6517794728279114,
0.6610034108161926,18,189,,
,18,189,0.6803880333900452,
,19,199,,0.5698580145835876
0.6644054651260376,19,199,,
,19,199,0.6744109392166138,
