accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.2541910409927368,0,9,,
,0,9,0.9092801809310913,
0.32261210680007935,1,19,,
,1,19,0.7641588449478149,
0.35484081506729126,2,29,,
,2,29,0.7203401923179626,
0.3691033124923706,3,39,,
,3,39,0.6715474128723145,
,4,49,,1.2142107486724854
0.3613645136356354,4,49,,
,4,49,0.7224124073982239,
0.3827160596847534,5,59,,
,5,59,0.6770637631416321,
0.40768587589263916,6,69,,
,6,69,0.7032607793807983,
0.41866472363471985,7,79,,
,7,79,0.6547344923019409,
0.41672080755233765,8,89,,
,8,89,0.6187857389450073,
,9,99,,0.90259850025177
0.4155750572681427,9,99,,
,9,99,0.6913337707519531,
0.414690762758255,10,109,,
,10,109,0.6289423108100891,
0.42474010586738586,11,119,,
,11,119,0.6701035499572754,
0.42904484272003174,12,129,,
,12,129,0.6403864622116089,
0.4307156801223755,13,139,,
,13,139,0.6407731175422668,
,14,149,,0.4839816987514496
0.4316699206829071,14,149,,
,14,149,0.5652236938476562,
0.43970516324043274,15,159,,
,15,159,0.5545538663864136,
0.44576311111450195,16,169,,
,16,169,0.5634768605232239,
0.4495018422603607,17,179,,
,17,179,0.5723329782485962,
0.45564788579940796,18,189,,
,18,189,0.564590573310852,
,19,199,,0.6065717339515686
0.45636454224586487,19,199,,
,19,199,0.5366970896720886,
