accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.3128654956817627,0,9,,
,0,9,0.9085582494735718,
0.339473694562912,1,19,,
,1,19,0.8513380885124207,
0.3566601574420929,2,29,,
,2,29,0.7421011924743652,
0.35750487446784973,3,39,,
,3,39,0.7545722723007202,
,4,49,,0.8266279101371765
0.3550487458705902,4,49,,
,4,49,0.7597688436508179,
0.376218318939209,5,59,,
,5,59,0.7332640886306763,
0.3923976719379425,6,69,,
,6,69,0.7327771186828613,
0.3806042969226837,7,79,,
,7,79,0.6960479021072388,
0.3935239315032959,8,89,,
,8,89,0.7235416769981384,
,9,99,,0.8036220073699951
0.3971345126628876,9,99,,
,9,99,0.6751061677932739,
0.39640262722969055,10,109,,
,10,109,0.7447148561477661,
0.40735867619514465,11,119,,
,11,119,0.703499436378479,
0.41911831498146057,12,129,,
,12,129,0.6834495663642883,
0.4207741618156433,13,139,,
,13,139,0.687357485294342,
,14,149,,0.7392932772636414
0.4238726496696472,14,149,,
,14,149,0.6724628210067749,
0.43045809864997864,15,159,,
,15,159,0.6497485637664795,
0.434881329536438,16,169,,
,16,169,0.6879386901855469,
0.435445100069046,17,179,,
,17,179,0.6005520820617676,
0.4375089704990387,18,189,,
,18,189,0.6247859597206116,
,19,199,,0.6000768542289734
0.44135478138923645,19,199,,
,19,199,0.6370265483856201,
