accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.34522417187690735,0,9,,
,0,9,1.0544930696487427,
0.3378167748451233,1,19,,
,1,19,0.9535320401191711,
0.38050681352615356,2,29,,
,2,29,0.8577923774719238,
0.3978070318698883,3,39,,
,3,39,0.8957127332687378,
,4,49,,0.9273423552513123
0.4181676506996155,4,49,,
,4,49,0.8573023676872253,
0.43274855613708496,5,59,,
,5,59,0.8267706632614136,
0.4421052634716034,6,69,,
,6,69,0.8254331350326538,
0.4522417187690735,7,79,,
,7,79,0.8127422332763672,
0.4545809030532837,8,89,,
,8,89,0.8299204111099243,
,9,99,,0.8221836090087891
0.4620468020439148,9,99,,
,9,99,0.7869146466255188,
0.4696260988712311,10,109,,
,10,109,0.789477527141571,
0.47521117329597473,11,119,,
,11,119,0.827434241771698,
0.48175138235092163,12,129,,
,12,129,0.7998651266098022,
0.4862990975379944,13,139,,
,13,139,0.7915707230567932,
,14,149,,0.8952431678771973
0.49064329266548157,14,149,,
,14,149,0.7779385447502136,
0.49452972412109375,15,159,,
,15,159,0.7711388468742371,
0.4983946979045868,16,169,,
,16,169,0.8139842748641968,
0.498386412858963,17,179,,
,17,179,0.7463868856430054,
0.5012516975402832,18,189,,
,18,189,0.7906697988510132,
,19,199,,0.794095516204834
0.5048732757568359,19,199,,
,19,199,0.7773729562759399,
