accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.3910331428050995,0,9,,
,0,9,0.9302231669425964,
0.4183235764503479,1,19,,
,1,19,0.8846077919006348,
0.40922677516937256,2,29,,
,2,29,0.7813194990158081,
0.40433722734451294,3,39,,
,3,39,0.7775980234146118,
,4,49,,0.9437971115112305
0.40545809268951416,4,49,,
,4,49,0.8011628985404968,
0.41283300518989563,5,59,,
,5,59,0.7652047872543335,
0.43689781427383423,6,69,,
,6,69,0.7626472115516663,
0.450487345457077,7,79,,
,7,79,0.7500249743461609,
0.438791424036026,8,89,,
,8,89,0.750791609287262,
,9,99,,0.798719584941864
0.4398830533027649,9,99,,
,9,99,0.734904944896698,
0.439429372549057,10,109,,
,10,109,0.7453210949897766,
0.44949641823768616,11,119,,
,11,119,0.7287083864212036,
0.459724098443985,12,129,,
,12,129,0.7260701060295105,
0.4592035710811615,13,139,,
,13,139,0.7168925404548645,
,14,149,,0.7683309316635132
0.4642755091190338,14,149,,
,14,149,0.7077948451042175,
0.46703216433525085,15,159,,
,15,159,0.6629335284233093,
0.47017544507980347,16,169,,
,16,169,0.7205232381820679,
0.46836692094802856,17,179,,
,17,179,0.6485214233398438,
0.47071918845176697,18,189,,
,18,189,0.6597738265991211,
,19,199,,0.5907414555549622
0.4759356677532196,19,199,,
,19,199,0.662229061126709,
