accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.24541909992694855,0,9,,
,0,9,0.9461785554885864,
0.3182261288166046,1,19,,
,1,19,0.824878990650177,
0.3229369819164276,2,29,,
,2,29,0.7862200736999512,
0.3418128788471222,3,39,,
,3,39,0.7594863772392273,
,4,49,,1.150431513786316
0.33629629015922546,4,49,,
,4,49,0.773947536945343,
0.3564327359199524,5,59,,
,5,59,0.7338625192642212,
0.38390421867370605,6,69,,
,6,69,0.7501718401908875,
0.4085526466369629,7,79,,
,7,79,0.7110919952392578,
0.4262291491031647,8,89,,
,8,89,0.6716448664665222,
,9,99,,1.046593189239502
0.4157699942588806,9,99,,
,9,99,0.7644206285476685,
0.42394116520881653,10,109,,
,10,109,0.70218425989151,
0.42519494891166687,11,119,,
,11,119,0.7610636949539185,
0.4206477701663971,12,129,,
,12,129,0.684489369392395,
0.4277777671813965,13,139,,
,13,139,0.7062631845474243,
,14,149,,0.5822701454162598
0.4375048875808716,14,149,,
,14,149,0.6408050060272217,
0.44184941053390503,15,159,,
,15,159,0.6192179322242737,
0.44750601053237915,16,169,,
,16,169,0.6284669637680054,
0.45238250494003296,17,179,,
,17,179,0.6243915557861328,
0.45798707008361816,18,189,,
,18,189,0.6250115633010864,
,19,199,,0.6608610153198242
0.46037036180496216,19,199,,
,19,199,0.5965521335601807,
