accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.4395959675312042,0,8,,
,0,8,0.9987305402755737,
0.3351515233516693,1,17,,
,1,17,0.8960890173912048,
0.39010101556777954,2,26,,
,2,26,0.8607248663902283,
0.39434343576431274,3,35,,
,3,35,0.7733144760131836,
0.39216160774230957,4,44,,
,4,44,0.9191555380821228,
,5,49,,0.8420480489730835
0.4019865393638611,5,53,,
,5,53,0.7938425540924072,
0.41595959663391113,6,62,,
,6,62,0.7733322381973267,
0.4386363625526428,7,71,,
,7,71,0.7552773356437683,
0.4413019120693207,8,80,,
,8,80,0.764575719833374,
0.4459798038005829,9,89,,
,9,89,0.7696224451065063,
0.45467400550842285,10,98,,
,10,98,0.7234460711479187,
,11,99,,0.6654901504516602
0.46501684188842773,11,107,,
,11,107,0.7083285450935364,
0.47843044996261597,12,116,,
,12,116,0.7459855675697327,
0.4818758964538574,13,125,,
,13,125,0.7208889722824097,
0.48530641198158264,14,134,,
,14,134,0.6911998391151428,
0.4887247383594513,15,143,,
,15,143,0.6912354230880737,
,16,149,,0.737845242023468
0.4909566342830658,16,152,,
,16,152,0.6642754077911377,
0.492570161819458,17,161,,
,17,161,0.6573159694671631,
0.49444976449012756,18,170,,
,18,170,0.657629132270813,
0.49639394879341125,19,179,,
,19,179,0.6736140847206116,
