accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.1666666716337204,0,9,,
,0,9,0.8872023820877075,
0.23989899456501007,1,19,,
,1,19,0.6691282391548157,
0.3164983093738556,2,29,,
,2,29,0.6704989671707153,
0.31439393758773804,3,39,,
,3,39,0.6403825283050537,
,4,49,,0.5221246480941772
0.307407408952713,4,49,,
,4,49,0.6471440196037292,
0.34820425510406494,5,59,,
,5,59,0.6415152549743652,
0.3831169009208679,6,69,,
,6,69,0.6047815680503845,
0.4166666567325592,7,79,,
,7,79,0.5984176397323608,
0.41769546270370483,8,89,,
,8,89,0.5555849671363831,
,9,99,,0.9277318120002747
0.41582491993904114,9,99,,
,9,99,0.6521368026733398,
0.4318947196006775,10,109,,
,10,109,0.5892822742462158,
0.44486531615257263,11,119,,
,11,119,0.633434534072876,
0.4511784613132477,12,129,,
,12,129,0.558418869972229,
0.4546657204627991,13,139,,
,13,139,0.551986813545227,
,14,149,,0.5150838494300842
0.45768800377845764,14,149,,
,14,149,0.550583004951477,
0.4603324830532074,15,159,,
,15,159,0.6272729635238647,
0.46454742550849915,16,169,,
,16,169,0.5408248901367188,
0.4716610610485077,17,179,,
,17,179,0.5199605226516724,
0.47607657313346863,18,189,,
,18,189,0.5284152030944824,
,19,199,,0.6012474298477173
0.4800505042076111,19,199,,
,19,199,0.5257316827774048,
