accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.1666666716337204,0,9,,
,0,9,0.99066561460495,
0.3333333432674408,1,19,,
,1,19,0.8899289965629578,
0.4444444477558136,2,29,,
,2,29,0.8764678835868835,
0.5,3,39,,
,3,39,0.8780956268310547,
,4,49,,0.9244513511657715
0.5353535413742065,4,49,,
,4,49,0.8470670580863953,
0.5370370149612427,5,59,,
,5,59,0.7474247217178345,
0.5418470501899719,6,69,,
,6,69,0.788425862789154,
0.5441918969154358,7,79,,
,7,79,0.7552911639213562,
0.5578002333641052,8,89,,
,8,89,0.8498424291610718,
,9,99,,0.7580424547195435
0.5602693557739258,9,99,,
,9,99,0.8276456594467163,
0.5648913383483887,10,109,,
,10,109,0.7507163882255554,
0.5725308656692505,11,119,,
,11,119,0.7969080805778503,
0.5716135501861572,12,129,,
,12,129,0.777571439743042,
0.5711880922317505,13,139,,
,13,139,0.7991172075271606,
,14,149,,0.7569961547851562
0.5725027918815613,14,149,,
,14,149,0.7872679233551025,
0.5783880352973938,15,159,,
,15,159,0.7246797680854797,
0.5809071063995361,16,169,,
,16,169,0.7229578495025635,
0.5828657150268555,17,179,,
,17,179,0.7638757228851318,
0.5872762799263,18,189,,
,18,189,0.7121835947036743,
,19,199,,0.8218449950218201
0.5899831652641296,19,199,,
,19,199,0.770065426826477,
