accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.1666666716337204,0,9,,
,0,9,0.930215060710907,
0.37037035822868347,1,19,,
,1,19,0.7693125009536743,
0.47138047218322754,2,29,,
,2,29,0.7892879843711853,
0.5202020406723022,3,39,,
,3,39,0.7725992798805237,
,4,49,,0.8654693365097046
0.5424242615699768,4,49,,
,4,49,0.7359433770179749,
0.5648148059844971,5,59,,
,5,59,0.6324054002761841,
0.5685425400733948,6,69,,
,6,69,0.6659139394760132,
0.5940656661987305,7,79,,
,7,79,0.6305007934570312,
0.5953984260559082,8,89,,
,8,89,0.7675647139549255,
,9,99,,0.7334570288658142
0.5989899039268494,9,99,,
,9,99,0.7280741930007935,
0.6017753481864929,10,109,,
,10,109,0.6383278369903564,
0.6133557558059692,11,119,,
,11,119,0.6632581949234009,
0.6139600872993469,12,129,,
,12,129,0.6534817218780518,
0.6177248954772949,13,139,,
,13,139,0.6938081383705139,
,14,149,,0.6053304076194763
0.6157127022743225,14,149,,
,14,149,0.6942280530929565,
0.6142677068710327,15,159,,
,15,159,0.6028261184692383,
0.6129926443099976,16,169,,
,16,169,0.5982754826545715,
0.612326979637146,17,179,,
,17,179,0.6080660820007324,
0.6151869297027588,18,189,,
,18,189,0.5929526090621948,
,19,199,,0.7220919728279114
0.617760956287384,19,199,,
,19,199,0.6467677354812622,
