accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
,0,49,,1.1402685642242432
0.3884708881378174,0,86,,
,0,86,1.3101165294647217,
,1,99,,1.1870509386062622
,1,149,,1.2258367538452148
0.36899271607398987,1,173,,
,1,173,1.2070444822311401,
,2,199,,1.157518744468689
,2,249,,1.0423874855041504
0.33865290880203247,2,260,,
,2,260,1.1817007064819336,
,3,299,,1.0036401748657227
0.3402305841445923,3,347,,
,3,347,1.092483639717102,
,4,349,,1.4808399677276611
,4,399,,0.8563288450241089
0.3413592278957367,4,434,,
,4,434,1.081884741783142,
,5,449,,0.994189441204071
,5,499,,0.799733579158783
0.35153722763061523,5,521,,
,5,521,1.0143638849258423,
,6,549,,0.6232739686965942
,6,599,,1.0212770700454712
0.3630981147289276,6,608,,
,6,608,0.9821438193321228,
,7,649,,0.8988022208213806
0.3489305078983307,7,695,,
,7,695,0.9640785455703735,
,8,699,,1.2577694654464722
,8,749,,0.8153353333473206
0.351516991853714,8,782,,
,8,782,0.9911577701568604,
,9,799,,1.0363974571228027
,9,849,,0.902786910533905
0.36990898847579956,9,869,,
,9,869,0.9263150691986084,
,10,899,,0.920621931552887
,10,949,,0.9997154474258423
0.3740622103214264,10,956,,
,10,956,0.923732340335846,
,11,999,,1.0776288509368896
0.3820641040802002,11,1043,,
,11,1043,0.9138084650039673,
,12,1049,,0.9094109535217285
,12,1099,,1.0847947597503662
0.3870799243450165,12,1130,,
,12,1130,0.8876517415046692,
,13,1149,,1.282641053199768
,13,1199,,1.0200703144073486
0.39292216300964355,13,1217,,
,13,1217,0.9066635370254517,
,14,1249,,0.790771484375
,14,1299,,0.7688128352165222
0.3976820409297943,14,1304,,
,14,1304,0.8772127628326416,
,15,1349,,0.7178454399108887
0.4000682532787323,15,1391,,
,15,1391,0.8365917205810547,
,16,1399,,0.8995263576507568
,16,1449,,0.5661284327507019
0.4046865999698639,16,1478,,
,16,1478,0.864989161491394,
,17,1499,,0.9418114423751831
,17,1549,,0.7063776254653931
0.4027373194694519,17,1565,,
,17,1565,0.8916977643966675,
,18,1599,,0.8477423787117004
,18,1649,,0.6751076579093933
0.4044615626335144,18,1652,,
,18,1652,0.8367041349411011,
,19,1699,,0.799091100692749
0.40185073018074036,19,1739,,
,19,1739,0.8432132005691528,
,20,1749,,1.0174702405929565
,20,1799,,0.8602245450019836
0.4023694097995758,20,1826,,
,20,1826,0.8554248213768005,
,21,1849,,0.7001813054084778
,21,1899,,1.0359570980072021
0.4034835696220398,21,1913,,
,21,1913,0.8345188498497009,
,22,1949,,0.9294990301132202
,22,1999,,0.5998861789703369
0.40793055295944214,22,2000,,
,22,2000,0.8122925162315369,
,23,2049,,0.6482939720153809
0.4125126302242279,23,2087,,
,23,2087,0.8305327296257019,
,24,2099,,0.8925679922103882
,24,2149,,0.8938858509063721
0.41454368829727173,24,2174,,
,24,2174,0.8226513266563416,
