seed,dir,train_deox,train_ischem,train_stas,val_deox,val_ischem,val_stas,test_deox,test_ischem,test_stas,test_total,test_imbalance,min_test_class
6,training_runs/split_search_kidney_conditions/seed_06,255,208,136,24,58,8,38,46,38,122,0.06557377049180324,38
19,training_runs/split_search_kidney_conditions/seed_19,243,232,124,36,34,20,38,46,38,122,0.06557377049180324,38
23,training_runs/split_search_kidney_conditions/seed_23,247,232,120,34,34,22,36,46,40,122,0.08196721311475408,36
24,training_runs/split_search_kidney_conditions/seed_24,244,230,126,29,36,24,44,46,32,122,0.1147540983606557,32
0,training_runs/split_search_kidney_conditions/seed_00,229,244,126,40,28,22,48,40,34,122,0.11475409836065575,34
2,training_runs/split_search_kidney_conditions/seed_02,240,236,124,29,36,24,48,40,34,122,0.11475409836065575,34
5,training_runs/split_search_kidney_conditions/seed_05,235,238,126,34,34,22,48,40,34,122,0.11475409836065575,34
12,training_runs/split_search_kidney_conditions/seed_12,228,242,130,41,30,18,48,40,34,122,0.11475409836065575,34
16,training_runs/split_search_kidney_conditions/seed_16,242,230,128,36,34,20,39,48,34,121,0.11570247933884298,34
7,training_runs/split_search_kidney_conditions/seed_07,242,230,128,29,36,24,46,46,30,122,0.13114754098360654,30
8,training_runs/split_search_kidney_conditions/seed_08,242,230,128,29,36,24,46,46,30,122,0.13114754098360654,30
10,training_runs/split_search_kidney_conditions/seed_10,242,230,128,29,36,24,46,46,30,122,0.13114754098360654,30
13,training_runs/split_search_kidney_conditions/seed_13,242,230,128,29,36,24,46,46,30,122,0.13114754098360654,30
21,training_runs/split_search_kidney_conditions/seed_21,231,238,130,40,28,22,46,46,30,122,0.13114754098360654,30
11,training_runs/split_search_kidney_conditions/seed_11,245,232,122,38,28,24,34,52,36,122,0.14754098360655737,34
14,training_runs/split_search_kidney_conditions/seed_14,242,230,128,41,30,18,34,52,36,122,0.14754098360655737,34
28,training_runs/split_search_kidney_conditions/seed_28,249,226,124,34,34,22,34,52,36,122,0.14754098360655737,34
18,training_runs/split_search_kidney_conditions/seed_18,244,206,150,24,58,8,49,48,24,121,0.20661157024793386,24
20,training_runs/split_search_kidney_conditions/seed_20,236,242,122,26,34,30,55,36,30,121,0.20661157024793386,30
25,training_runs/split_search_kidney_conditions/seed_25,236,242,122,26,34,30,55,36,30,121,0.20661157024793386,30
3,training_runs/split_search_kidney_conditions/seed_03,240,226,134,41,30,18,36,56,30,122,0.21311475409836067,30
22,training_runs/split_search_kidney_conditions/seed_22,252,220,128,29,36,24,36,56,30,122,0.21311475409836067,30
26,training_runs/split_search_kidney_conditions/seed_26,255,222,122,26,34,30,36,56,30,122,0.21311475409836067,30
9,training_runs/split_search_kidney_conditions/seed_09,250,210,140,41,30,18,26,72,24,122,0.39344262295081966,24
17,training_runs/split_search_kidney_conditions/seed_17,250,210,140,41,30,18,26,72,24,122,0.39344262295081966,24
1,training_runs/split_search_kidney_conditions/seed_01,184,262,154,41,30,18,92,20,10,122,0.6721311475409836,10
4,training_runs/split_search_kidney_conditions/seed_04,196,256,148,29,36,24,92,20,10,122,0.6721311475409836,10
15,training_runs/split_search_kidney_conditions/seed_15,184,262,154,41,30,18,92,20,10,122,0.6721311475409836,10
29,training_runs/split_search_kidney_conditions/seed_29,184,262,154,41,30,18,92,20,10,122,0.6721311475409836,10
27,training_runs/split_search_kidney_conditions/seed_27,194,252,154,26,42,20,97,18,8,123,0.7235772357723577,8
